"","Taxid","Name","OTU","Perc"
"12",1282,"Staphylococcus epidermidis",6,0.0151948742624155
"14",1290,"Staphylococcus hominis",6,0.0151948742624155
"21",1309,"Streptococcus mutans",6,0.0151948742624155
"120",254786,"Streptococcus castoreus",6,0.0151948742624155
"150",747656,"Streptococcus danieliae",6,0.0151948742624155
"210",1917441,"Streptococcus ruminantium",6,0.0151948742624155
"78",74703,"Staphylococcus capitis subsp. urealyticus",5,0.0126623952186796
"98",149015,"Streptococcus hyovaginalis",5,0.0126623952186796
"110",202948,"Actinobacillus equuli subsp. haemolyticus",5,0.0126623952186796
"22",1310,"Streptococcus sobrinus",4,0.0101299161749437
"103",157687,"Leptotrichia wadei",4,0.0101299161749437
"116",237258,"Cloacibacterium normanense",4,0.0101299161749437
"124",280333,"Bradyrhizobium pachyrhizi",4,0.0101299161749437
"135",456876,"Streptococcus plurextorum",4,0.0101299161749437
"163",889205,"Streptococcus pseudopneumoniae ATCC BAA-960 = CCUG 49455",4,0.0101299161749437
"176",1122154,"Lactococcus chungangensis CAU 28 = DSM 22330",4,0.0101299161749437
"1",470,"Acinetobacter baumannii",3,0.00759743713120774
"42",1598,"Lactobacillus reuteri",3,0.00759743713120774
"59",35787,"Lactobacillus pontis",3,0.00759743713120774
"66",45972,"Staphylococcus pasteuri",3,0.00759743713120774
"85",85403,"Mannheimia ruminalis",3,0.00759743713120774
"93",119602,"Streptococcus dysgalactiae subsp. equisimilis",3,0.00759743713120774
"99",149016,"Streptococcus urinalis",3,0.00759743713120774
"105",160454,"Enterococcus pallens",3,0.00759743713120774
"118",249188,"Haemophilus pittmaniae",3,0.00759743713120774
"142",592028,"Dialister invisus DSM 15470",3,0.00759743713120774
"146",661498,"Streptococcus fryi",3,0.00759743713120774
"152",764299,"Streptococcus ictaluri 707-05",3,0.00759743713120774
"156",888745,"Streptococcus agalactiae ATCC 13813",3,0.00759743713120774
"175",1121865,"Enterococcus columbae DSM 7374 = ATCC 51263",3,0.00759743713120774
"187",1349415,"Streptococcus loxodontisalivarius",3,0.00759743713120774
"11",1280,"Staphylococcus aureus",2,0.00506495808747183
"24",1314,"Streptococcus pyogenes",2,0.00506495808747183
"33",1345,"Streptococcus ferus",2,0.00506495808747183
"46",1717,"Corynebacterium diphtheriae",2,0.00506495808747183
"47",1747,"Cutibacterium acnes",2,0.00506495808747183
"53",29379,"Staphylococcus auricularis",2,0.00506495808747183
"60",38284,"Corynebacterium accolens",2,0.00506495808747183
"73",59310,"Streptococcus macedonicus",2,0.00506495808747183
"76",70346,"Acinetobacter variabilis",2,0.00506495808747183
"88",102886,"Streptococcus didelphis",2,0.00506495808747183
"109",197614,"Streptococcus pasteurianus",2,0.00506495808747183
"126",284581,"Bacillus koreensis",2,0.00506495808747183
"143",648567,"Streptococcus ursoris",2,0.00506495808747183
"159",888828,"Haemophilus parainfluenzae ATCC 33392",2,0.00506495808747183
"170",1000562,"Streptococcus phocae subsp. salmonis",2,0.00506495808747183
"172",1051981,"Streptococcus equi subsp. ruminatorum CECT 5772",2,0.00506495808747183
"180",1189613,"Staphylococcus massiliensis CCUG 55927",2,0.00506495808747183
"182",1236518,"Prevotella scopos JCM 17725",2,0.00506495808747183
"188",1349416,"Streptococcus saliviloxodontae",2,0.00506495808747183
"195",1494461,"Lactococcus laudensis",2,0.00506495808747183
"196",1518501,"Bradyrhizobium valentinum",2,0.00506495808747183
"208",1908260,"Rodentibacter rarus",2,0.00506495808747183
"2",496,"Neisseria macacae",1,0.00253247904373591
"3",718,"Actinobacillus equuli",1,0.00253247904373591
"4",719,"Actinobacillus hominis",1,0.00253247904373591
"9",747,"Pasteurella multocida",1,0.00253247904373591
"10",758,"Rodentibacter pneumotropicus",1,0.00253247904373591
"13",1283,"Staphylococcus haemolyticus",1,0.00253247904373591
"27",1329,"Streptococcus canis",1,0.00253247904373591
"29",1336,"Streptococcus equi",1,0.00253247904373591
"35",1352,"Enterococcus faecium",1,0.00253247904373591
"36",1355,"Enterococcus columbae",1,0.00253247904373591
"37",1364,"Lactococcus piscium",1,0.00253247904373591
"38",1365,"Lactococcus plantarum",1,0.00253247904373591
"39",1366,"Lactococcus raffinolactis",1,0.00253247904373591
"40",1376,"Aerococcus urinae",1,0.00253247904373591
"41",1383,"Atopobium rimae",1,0.00253247904373591
"43",1607,"Lactobacillus bifermentans",1,0.00253247904373591
"44",1623,"Lactobacillus ruminis",1,0.00253247904373591
"48",2748,"Carnobacterium divergens",1,0.00253247904373591
"49",2752,"Carnobacterium funditum",1,0.00253247904373591
"51",28129,"Prevotella denticola",1,0.00253247904373591
"61",38290,"Corynebacterium macginleyi",1,0.00253247904373591
"62",38304,"Corynebacterium tuberculostearicum",1,0.00253247904373591
"63",40041,"Streptococcus equi subsp. zooepidemicus",1,0.00253247904373591
"64",44008,"Enterococcus cecorum",1,0.00253247904373591
"65",45462,"Brevibacillus borstelensis",1,0.00253247904373591
"68",47496,"Pedomicrobium australicum",1,0.00253247904373591
"69",51049,"Actinobacillus indolicus",1,0.00253247904373591
"70",55085,"Streptococcus thoraltensis",1,0.00253247904373591
"71",56456,"Xanthomonas melonis",1,0.00253247904373591
"72",56457,"Xanthomonas pisi",1,0.00253247904373591
"74",67854,"Actinobacillus succinogenes",1,0.00253247904373591
"75",70258,"Staphylococcus piscifermentans",1,0.00253247904373591
"77",71451,"Enterococcus malodoratus",1,0.00253247904373591
"80",77768,"Prevotella albensis",1,0.00253247904373591
"81",80746,"[Haemophilus] piscium",1,0.00253247904373591
"82",82135,"Atopobium vaginae",1,0.00253247904373591
"84",85401,"Mannheimia glucosida",1,0.00253247904373591
"86",85404,"Mannheimia varigena",1,0.00253247904373591
"87",86665,"Bacillus halodurans",1,0.00253247904373591
"90",105751,"Aeromonas bestiarum",1,0.00253247904373591
"94",133539,"Nitrosococcus halophilus",1,0.00253247904373591
"95",137732,"Granulicatella elegans",1,0.00253247904373591
"96",140314,"Trichococcus palustris",1,0.00253247904373591
"97",145393,"Staphylococcus hominis subsp. novobiosepticus",1,0.00253247904373591
"101",154621,"Enterococcus phoeniculicola",1,0.00253247904373591
"102",155680,"Streptococcus entericus",1,0.00253247904373591
"104",160453,"Enterococcus gilvus",1,0.00253247904373591
"107",184250,"Streptococcus constellatus subsp. pharyngis",1,0.00253247904373591
"108",197575,"Haemophilus aegyptius",1,0.00253247904373591
"111",202952,"Acinetobacter gerneri",1,0.00253247904373591
"112",218144,"Vagococcus carniphilus",1,0.00253247904373591
"114",227942,"Lactobacillus gastricus",1,0.00253247904373591
"117",246144,"Enterococcus italicus",1,0.00253247904373591
"122",267363,"Lactobacillus zymae",1,0.00253247904373591
"125",282078,"Streptococcus orisuis",1,0.00253247904373591
"127",308994,"Dialister propionicifaciens",1,0.00253247904373591
"128",309120,"Dialister micraerophilus",1,0.00253247904373591
"130",324617,"Aeromonas tecta",1,0.00253247904373591
"131",332949,"Enterococcus silesiacus",1,0.00253247904373591
"132",400065,"Streptococcus merionis",1,0.00253247904373591
"133",417373,"Lactobacillus equigenerosi",1,0.00253247904373591
"134",453959,"Enterococcus camelliae",1,0.00253247904373591
"136",467997,"Weissella ghanensis",1,0.00253247904373591
"137",470565,"Prevotella histicola",1,0.00253247904373591
"138",490188,"Hydrocarboniphaga daqingensis",1,0.00253247904373591
"139",521095,"Atopobium parvulum DSM 20469",1,0.00253247904373591
"140",547045,"Neisseria sicca ATCC 29256",1,0.00253247904373591
"144",655811,"Anaerococcus vaginalis ATCC 51170",1,0.00253247904373591
"149",742743,"Dialister succinatiphilus YIT 11850",1,0.00253247904373591
"153",875093,"Streptococcus pseudoporcinus LQ 940-04",1,0.00253247904373591
"154",887896,"Lactobacillus coleohominis DSM 14060",1,0.00253247904373591
"165",911238,"Staphylococcus simiae CCM 7213 = CCUG 51256",1,0.00253247904373591
"166",931626,"Acetobacterium woodii DSM 1030",1,0.00253247904373591
"167",941770,"Lactobacillus fructivorans KCTC 3543 = DSM 20203",1,0.00253247904373591
"174",1080072,"Streptococcus dentasini",1,0.00253247904373591
"177",1139996,"Enterococcus saccharolyticus subsp. saccharolyticus ATCC 43076",1,0.00253247904373591
"178",1160719,"Cutibacterium granulosum DSM 20700",1,0.00253247904373591
"179",1172614,"Paenibacillus hemerocallicola",1,0.00253247904373591
"183",1276936,"Staphylococcus petrasii",1,0.00253247904373591
"184",1281485,"Enterococcus saccharolyticus subsp. taiwanensis",1,0.00253247904373591
"189",1352223,"Streptococcus dentiloxodontae",1,0.00253247904373591
"190",1423812,"Lactobacillus uvarum DSM 19971",1,0.00253247904373591
"191",1432788,"Streptococcus cuniculi",1,0.00253247904373591
"192",1457217,"Lactobacillus plajomi",1,0.00253247904373591
"199",1572762,"Xylanibacillus composti",1,0.00253247904373591
"202",1611836,"Staphylococcus petrasii subsp. pragensis",1,0.00253247904373591
"203",1640685,"Enterococcus massiliensis",1,0.00253247904373591
"204",1798183,"Gilliamella intestini",1,0.00253247904373591
"205",1814128,"Streptococcus halotolerans",1,0.00253247904373591
"209",1908263,"Rodentibacter trehalosifermentans",1,0.00253247904373591
"211",2004710,"Cloacibacterium caeni",1,0.00253247904373591
